time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.025	-4.9799e-05	0.000980012	0.222559	-7.45451e-05	-0.00798864	-2.07748e-07	-7.3814e-05	0.0732146	-2.86216e-07	0	0.000797862	0.00475392	-0.0115609	0.280792
0.05	-4.97973e-05	0.00100996	0.222559	-7.45466e-05	-0.00798857	-2.09443e-07	-7.38156e-05	0.0732147	-2.88477e-07	0	0.00161533	0.00475387	-0.0115192	0.28079
0.075	-4.97944e-05	0.00106069	0.222559	-7.45492e-05	-0.00798846	-2.12307e-07	-7.38182e-05	0.0732148	-2.92301e-07	0	0.0024725	0.00475378	-0.0114485	0.280788
0.1	-4.97902e-05	0.00113345	0.222559	-7.45529e-05	-0.00798829	-2.16399e-07	-7.38221e-05	0.073215	-2.97769e-07	0	0.00339043	0.00475365	-0.0113471	0.280785
0.125	-4.97847e-05	0.00123003	0.222559	-7.45578e-05	-0.00798808	-2.21804e-07	-7.38272e-05	0.0732152	-3.05001e-07	0	0.00439168	0.00475347	-0.0112126	0.280781
0.15	-4.97777e-05	0.0013528	0.222559	-7.4564e-05	-0.0079878	-2.28631e-07	-7.38337e-05	0.0732155	-3.14149e-07	0	0.00550085	0.00475325	-0.0110415	0.280775
0.175	-4.9769e-05	0.00150478	0.222559	-7.45717e-05	-0.00798746	-2.37013e-07	-7.38417e-05	0.0732158	-3.25405e-07	0	0.00674521	0.00475298	-0.0108298	0.280769
0.2	-4.97586e-05	0.0016897	0.22256	-7.45811e-05	-0.00798704	-2.47108e-07	-7.38515e-05	0.0732162	-3.38998e-07	0	0.00815533	0.00475265	-0.0105722	0.280761
0.225	-4.97461e-05	0.00191211	0.22256	-7.45924e-05	-0.00798654	-2.591e-07	-7.38632e-05	0.0732167	-3.55196e-07	0	0.00976588	0.00475226	-0.0102625	0.280751
0.25	-4.97313e-05	0.00217747	0.22256	-7.46058e-05	-0.00798594	-2.73193e-07	-7.38772e-05	0.0732173	-3.74307e-07	0	0.0116164	0.0047518	-0.0098929	0.28074
0.275	-4.97139e-05	0.00249232	0.22256	-7.46216e-05	-0.00798523	-2.89611e-07	-7.38938e-05	0.073218	-3.96679e-07	0	0.0137524	0.00475125	-0.0094545	0.280726
0.3	-4.96935e-05	0.00286437	0.222561	-7.46404e-05	-0.00798439	-3.08587e-07	-7.39133e-05	0.0732189	-4.22692e-07	0	0.0162264	0.00475061	-0.0089365	0.280711
0.325	-4.96698e-05	0.00330279	0.222561	-7.46624e-05	-0.0079834	-3.30357e-07	-7.39363e-05	0.0732198	-4.52752e-07	0	0.0190992	0.00474987	-0.00832623	0.280693
0.35	-4.96424e-05	0.00381834	0.222562	-7.46882e-05	-0.00798224	-3.55137e-07	-7.39632e-05	0.073221	-4.87281e-07	0	0.0224413	0.00474901	-0.00760874	0.280672
0.375	-4.96107e-05	0.00442369	0.222562	-7.47184e-05	-0.00798088	-3.83099e-07	-7.39948e-05	0.0732224	-5.26691e-07	0	0.0263349	0.00474802	-0.00676647	0.280647
0.4	-4.95744e-05	0.00513373	0.222563	-7.47537e-05	-0.00797928	-4.14333e-07	-7.40317e-05	0.073224	-5.71351e-07	0	0.0308757	0.00474688	-0.00577882	0.280619
0.425	-4.95329e-05	0.00596591	0.222564	-7.47949e-05	-0.00797741	-4.48785e-07	-7.40747e-05	0.0732258	-6.21538e-07	0	0.0361753	0.00474558	-0.00462165	0.280588
0.45	-4.94858e-05	0.00694069	0.222565	-7.48429e-05	-0.00797521	-4.86173e-07	-7.41249e-05	0.073228	-6.77358e-07	0	0.0423639	0.00474411	-0.00326669	0.280552
0.475	-4.94327e-05	0.00808202	0.222566	-7.48988e-05	-0.00797265	-5.25868e-07	-7.41834e-05	0.0732306	-7.38631e-07	0	0.0495935	0.00474245	-0.00168088	0.280511
0.5	-4.93734e-05	0.00941796	0.222567	-7.49636e-05	-0.00796964	-5.66714e-07	-7.42513e-05	0.0732336	-8.04735e-07	0	0.058042	0.00474061	0.000174483	0.280466
0	-4.93734e-05	0.00941796	0.222567	-7.49636e-05	-0.00796964	-5.66714e-07	-7.42513e-05	0.0732336	-8.04735e-07	0	0.058042	0.00474061	0.000174483	0.280466
0.025	-4.93084e-05	0.0109717	0.222568	-7.50384e-05	-0.00796615	-6.06569e-07	-7.43297e-05	0.0732371	-8.73964e-07	0	0.0667479	0.00473858	0.00233128	0.280416
0.05	-4.92399e-05	0.0127317	0.222569	-7.51222e-05	-0.0079622	-6.41724e-07	-7.44177e-05	0.073241	-9.42388e-07	0	0.0746132	0.00473645	0.00477287	0.280364
0.075	-4.91706e-05	0.0146768	0.22257	-7.52137e-05	-0.00795783	-6.68174e-07	-7.45139e-05	0.0732454	-1.0056e-06	0	0.081632	0.00473431	0.00746982	0.280311
0.1	-4.91032e-05	0.0167859	0.222572	-7.53117e-05	-0.0079531	-6.8206e-07	-7.4617e-05	0.0732501	-1.05936e-06	0	0.0877984	0.00473222	0.0103926	0.28026
0.125	-4.90401e-05	0.0190379	0.222573	-7.54147e-05	-0.00794805	-6.79808e-07	-7.47257e-05	0.0732552	-1.09967e-06	0	0.0931068	0.00473028	0.0135115	0.280212
0.15	-4.89837e-05	0.0214112	0.222574	-7.55216e-05	-0.00794273	-6.58257e-07	-7.48387e-05	0.0732605	-1.12298e-06	0	0.0975512	0.00472855	0.0167968	0.280169
0.175	-4.89359e-05	0.0238843	0.222575	-7.5631e-05	-0.00793719	-6.14766e-07	-7.49546e-05	0.073266	-1.12624e-06	0	0.101126	0.0047271	0.0202188	0.280132
0.2	-4.88985e-05	0.0264354	0.222575	-7.57418e-05	-0.00793148	-5.47325e-07	-7.50723e-05	0.0732718	-1.10703e-06	0	0.103825	0.00472597	0.0237477	0.280104
0.225	-4.88728e-05	0.0290428	0.222576	-7.58528e-05	-0.00792564	-4.54632e-07	-7.51906e-05	0.0732776	-1.06365e-06	0	0.105643	0.00472522	0.0273533	0.280085
0.25	-4.88598e-05	0.0316845	0.222576	-7.59629e-05	-0.00791973	-3.36169e-07	-7.53083e-05	0.0732835	-9.95151e-07	0	0.106573	0.00472488	0.0310056	0.280075
0.275	-4.88599e-05	0.0343381	0.222576	-7.60712e-05	-0.00791379	-1.92245e-07	-7.54244e-05	0.0732894	-9.01443e-07	0	0.106611	0.00472494	0.0346745	0.280076
0.3	-4.88856e-05	0.0369816	0.222576	-7.61766e-05	-0.00790788	-2.42574e-08	-7.5538e-05	0.0732954	-7.835e-07	0	0.105749	0.0047254	0.0383294	0.280086
0.325	-4.89114e-05	0.0395923	0.222575	-7.62783e-05	-0.00790205	1.66204e-07	-7.56479e-05	0.0733012	-6.42489e-07	0	0.103983	0.00472628	0.0419397	0.280106
0.35	-4.89489e-05	0.0421478	0.222575	-7.63755e-05	-0.00789633	3.76018e-07	-7.57534e-05	0.0733069	-4.81104e-07	0	0.101307	0.00472753	0.0454746	0.280135
0.375	-4.89969e-05	0.0446252	0.222574	-7.64674e-05	-0.0078908	6.01466e-07	-7.58536e-05	0.0733125	-3.02633e-07	0	0.0977137	0.00472911	0.0489028	0.280172
0.4	-4.90536e-05	0.0470018	0.222573	-7.65535e-05	-0.00788548	8.38066e-07	-7.59479e-05	0.0733178	-1.11123e-07	0	0.0931986	0.00473096	0.0521928	0.280216
0.425	-4.91168e-05	0.0492545	0.222572	-7.66332e-05	-0.00788045	1.08065e-06	-7.60355e-05	0.0733228	8.86949e-08	0	0.0877557	0.00473302	0.055313	0.280265
0.45	-4.91843e-05	0.0513602	0.222571	-7.6706e-05	-0.00787574	1.32345e-06	-7.61158e-05	0.0733276	2.91502e-07	0	0.081379	0.00473521	0.058231	0.280317
0.475	-4.92533e-05	0.0532955	0.222569	-7.67713e-05	-0.00787141	1.56022e-06	-7.61884e-05	0.0733319	4.91505e-07	0	0.0740626	0.00473744	0.0609146	0.28037
0.5	-4.8865e-05	0.0550357	0.222568	-6.91468e-05	-0.00788076	1.60597e-06	-7.62529e-05	0.0733358	6.82054e-07	0	0.0658009	0.0047394	0.0633314	0.280422
0	-4.8865e-05	0.0550357	0.222568	-6.91468e-05	-0.00788076	1.60597e-06	-7.62529e-05	0.0733358	6.82054e-07	0	0.058042	0.0047394	0.0633314	0.280422
0.025	-4.93673e-05	0.0563633	0.222567	-7.01651e-05	-0.00787731	1.76552e-06	-7.63019e-05	0.0733388	8.34147e-07	0	0.0488145	0.00474076	0.0651741	0.280464
0.05	-4.94326e-05	0.0574754	0.222566	-7.69317e-05	-0.00786973	1.90362e-06	-7.63396e-05	0.0733413	9.66926e-07	0	0.0407866	0.00474363	0.0667176	0.280501
0.075	-4.9541e-05	0.0584007	0.222565	-9.46411e-05	-0.00785384	2.02084e-06	-7.6367e-05	0.0733433	1.08089e-06	0	0.033761	0.00474836	0.0680005	0.280534
0.1	-4.96571e-05	0.0591619	0.222565	-0.000127415	-0.00782632	2.11852e-06	-7.63834e-05	0.073345	1.17743e-06	0	0.0275651	0.00475582	0.0690534	0.280563
0.125	-4.98104e-05	0.0597778	0.222564	-0.0001779	-0.00778505	2.19778e-06	-7.6389e-05	0.0733464	1.25765e-06	0	0.0220467	0.0047665	0.0699019	0.280587
0.15	-5.00036e-05	0.0602634	0.222564	-0.000247008	-0.00772926	2.25977e-06	-7.6384e-05	0.0733475	1.32262e-06	0	0.01707	0.00478058	0.0705667	0.280607
